,node_ID,highway,osmid,y,x,geometry
12863,2613868837,,2613868837,0.2730962,32.6109711,POINT (32.6109711 0.2730962)
12864,639105318,,639105318,0.263215,32.6165843,POINT (32.6165843 0.263215)
12865,2613868839,,2613868839,0.2722285,32.6121471,POINT (32.6121471 0.2722285)
12866,556857641,,556857641,0.3173234,32.5550277,POINT (32.5550277 0.3173234)
12867,2613868844,,2613868844,0.2730141,32.6131404,POINT (32.6131404 0.2730141)
12868,2613868848,,2613868848,0.2744547,32.6124526,POINT (32.6124526 0.2744547)
12869,2613868849,,2613868849,0.2712626,32.6103824,POINT (32.6103824 0.2712626)
12870,2613868853,,2613868853,0.2721726,32.6110716,POINT (32.6110716 0.2721726)
12871,2613868855,,2613868855,0.2722927,32.6132854,POINT (32.6132854 0.2722927)
12872,2613868856,,2613868856,0.2720553,32.6134836,POINT (32.6134836 0.2720553)
12873,556857660,,556857660,0.3167536,32.5562408,POINT (32.5562408 0.3167536)
12874,2613868862,,2613868862,0.2704098,32.6138017,POINT (32.6138017 0.2704098)
12875,2567567679,,2567567679,0.3969483,32.5781878,POINT (32.5781878 0.3969483)
12876,6225099073,,6225099073,0.3139577,32.625791,POINT (32.625791 0.3139577)
12877,2613868866,,2613868866,0.2694802,32.6126169,POINT (32.6126169 0.2694802)
12878,3843062083,,3843062083,0.2998616,32.5826894,POINT (32.5826894 0.2998616)
12879,2613868868,,2613868868,0.2711093,32.6151058,POINT (32.6151058 0.2711093)
12880,2613868869,,2613868869,0.2711409,32.6135883,POINT (32.6135883 0.2711409)
12881,2613868870,,2613868870,0.2708261,32.6132066,POINT (32.6132066 0.2708261)
12882,2613868871,,2613868871,0.2724899,32.614303,POINT (32.614303 0.2724899)
12883,3826514248,,3826514248,0.3126921,32.5838221,POINT (32.5838221 0.3126921)
12884,2544335176,,2544335176,0.3124623,32.6415152,POINT (32.6415152 0.3124623)
12885,3843062089,,3843062089,0.2992745,32.5828673,POINT (32.5828673 0.2992745)
12886,2613868873,,2613868873,0.2736308,32.6128787,POINT (32.6128787 0.2736308)
12887,2613868874,,2613868874,0.2736121,32.6120706,POINT (32.6120706 0.2736121)
12888,2613868872,,2613868872,0.273173,32.6125102,POINT (32.6125102 0.273173)
12889,2613868878,,2613868878,0.2721626,32.6129546,POINT (32.6129546 0.2721626)
12890,639105355,,639105355,0.2644716,32.6123115,POINT (32.6123115 0.2644716)
12891,2613868880,,2613868880,0.2734208,32.612989,POINT (32.612989 0.2734208)
12892,639105353,,639105353,0.2641752,32.6120004,POINT (32.6120004 0.2641752)
12893,6225197395,,6225197395,0.3595364,32.6148422,POINT (32.6148422 0.3595364)
