baseline,flooded,
1801.435918,2239.046714,437.6107957
802.5598188,881.2209789,78.66116012
3121.825365,3170.553154,48.72778877
770.0464515,865.0192288,94.97277727
765.5495688,859.2748744,93.72530559
1213.043717,1261.699704,48.65598688
963.6647344,1163.078919,199.4141847
767.325971,849.4945951,82.16862411
792.1489962,870.3521347,78.20313846
1000.563227,1049.567909,49.00468169
1013.495797,1113.190762,99.69496518
1448.112589,1995.672736,547.5601475
824.6307677,905.9967136,81.36594593
1641.505464,1691.775933,50.27046874
1414.256929,1487.244439,72.98750991
1568.497782,2050.012815,481.5150336
1559.497473,1748.918311,189.4208376
806.1276068,1092.066712,285.9391055
873.5265008,949.5838292,76.05732839
774.9891056,884.9939258,110.0048202
774.7671662,873.3117993,98.54463303
1589.616188,1978.987267,389.3710786
839.040414,906.6346186,67.59420463
1056.977909,0,-1056.977909
1091.380681,1149.884122,58.5034411
1334.891287,1384.008805,49.11751836
1057.851101,1137.055734,79.20463278
826.7470974,1001.272784,174.5256871
2110.578912,2297.808198,187.2292867
989.8125507,1146.828741,157.01619
964.7641255,1013.908643,49.14451737
1850.024035,1946.009067,95.98503243
1116.861446,1174.052169,57.19072208
2288.897341,2725.02044,436.1230983
955.0156963,1021.023337,66.0076412
942.4325713,1006.128447,63.69587606
930.641811,1070.779845,140.1380338
949.041279,1006.762612,57.72133334
758.2564285,825.7792458,67.52281735
1911.627819,2050.668298,139.0404786
1776.68067,1859.305673,82.62500273
1038.332897,1079.846163,41.51326697
776.2524013,840.8089929,64.55659159
1051.500633,1110.866717,59.36608388
906.5590747,1069.916391,163.3573162
1249.235132,1304.63078,55.39564738
835.5052541,900.14405,64.63879595
947.5893773,1013.587884,65.99850659
762.383974,842.5576237,80.17364967
777.4157077,0,-777.4157077
1952.122779,2391.538697,439.4159178
939.5021281,999.3108248,59.80869661
863.7067928,929.5317741,65.82498139
