,node_ID,y,highway,osmid,x,flood_depth,geometry
3334,5362431333,0.2129441,,5362431333,32.7958818,0.0,POINT (32.7958818 0.2129441)
3335,1387672933,0.2816154,,1387672933,32.6146301,0.128662109375,POINT (32.6146301 0.2816154)
3336,1806447975,0.062719,,1806447975,32.4566547,0.0,POINT (32.4566547 0.062719)
3337,1387672936,0.282039,,1387672936,32.6138794,-32767.0,POINT (32.6138794 0.282039)
3338,1387672937,0.2853055,,1387672937,32.6148301,-32767.0,POINT (32.6148301 0.2853055)
3339,1387672941,0.2835856,,1387672941,32.6135911,-32767.0,POINT (32.6135911 0.2835856)
3340,1806447981,0.0668257,,1806447981,32.4514414,0.0,POINT (32.4514414 0.0668257)
3341,5362431343,0.2505355,,5362431343,32.8002534,0.0,POINT (32.8002534 0.2505355)
3342,5362431344,0.2438744,,5362431344,32.7910967,0.0,POINT (32.7910967 0.2438744)
3343,1806447984,0.1700513,,1806447984,32.5542272,0.0,POINT (32.5542272 0.1700513)
3344,1806447983,0.0690684,,1806447983,32.4543106,0.0,POINT (32.4543106 0.0690684)
3345,467023219,0.3241704,,467023219,32.6192037,-32767.0,POINT (32.6192037 0.3241704)
3346,6200636787,0.3350623,,6200636787,32.7782112,0.0,POINT (32.7782112 0.3350623)
3347,6200636788,0.3379564,,6200636788,32.7777153,0.0,POINT (32.7777153 0.3379564)
3348,467023222,0.3231484,,467023222,32.6208895,-32767.0,POINT (32.6208895 0.3231484)
3349,6200636790,0.3379631,,6200636790,32.778241,0.0,POINT (32.778241 0.3379631)
3350,2616604024,0.273756,,2616604024,32.6168833,-32767.0,POINT (32.6168833 0.273756)
3351,2616604025,0.2736028,,2616604025,32.6165296,-32767.0,POINT (32.6165296 0.2736028)
3352,1387672952,0.2831308,,1387672952,32.6137774,-32767.0,POINT (32.6137774 0.2831308)
3353,467023229,0.3193923,,467023229,32.6256175,-32767.0,POINT (32.6256175 0.3193923)
3354,560477568,0.3406061,,560477568,32.6256868,-32767.0,POINT (32.6256868 0.3406061)
3355,5362431361,0.2571933,,5362431361,32.7901131,0.0,POINT (32.7901131 0.2571933)
3356,5362431362,0.2604224,,5362431362,32.7895335,0.0,POINT (32.7895335 0.2604224)
