id,type,name,lat,lon
3804478920,bus_station,1000 Оюутны байр,47.9238534,106.9627679
3804478922,bus_station,100 айл,47.9300697,106.9288889
3804478923,bus_station,100 айл,47.9328413,106.9273897
3804478924,bus_station,9 р дэлгүүр,47.937605,106.9212233
3804484532,atm,Хаан банк,47.9240043,106.9107792
3809479073,bus_station,Хүннү Молл,47.877136,106.8501273
3809479081,bus_station,Яармагын 1-р буудал,47.8718325,106.8324779
3809479084,bus_station,Яармагийн 3-р буудал,47.8681465,106.8201708
3809479085,bus_station,Эмнэлэгийн буудал,47.8653111,106.8105825
3809479086,bus_station,Буянт-Ухаа спорт цогцолбор буудал,47.8567282,106.7824364
3809479087,bus_station,Буянт-Ухаа спорт цогцолбор,47.8567016,106.7831835
3809479088,bus_station,Нисэхийн дэнжийн буудал,47.8563345,106.7701467
3809479089,bus_station,Нисэхийн дэнжийн буудал,47.8561968,106.7718138
3809479090,bus_station,Буянт-Ухаа орон сууц,47.8559233,106.7655642
3809479091,bus_station,Буянт-Ухаа цогцолбор сургууль,47.8572764,106.7621921
3809479092,bus_station,7-р Сургууль,47.8599688,106.7619635
3809479093,bus_station,Нисэхийн эцэсийн буудал,47.8652903,106.763405
3809499577,bus_station,Яармагийн Дэнж,47.8668978,106.786545
3809499579,bus_station,Дэвшил компани,47.8986642,106.7858029
3809499580,bus_station,Мах Маркет,47.9020562,106.7860066
3809499581,bus_station,Монос,47.9059022,106.7863707
3809499586,bus_station,5-н Шарын буудал,47.9096172,106.8145467
3809499595,bus_station,5-н Шарын буудал,47.9099507,106.813905
3809499596,bus_station,10-ын буудал,47.9097418,106.7985387
3809499597,bus_station,нефьт,47.9106458,106.786737
3809499598,bus_station,Өрхийн эмнэлэг,47.916161,106.7730962
3809499599,bus_station,Хуучин Эцэс,47.9246055,106.7653983
3809499600,bus_station,,47.9288129,106.7654871
3809499601,bus_station,Нарангийн Гол,47.931449,106.7654693
3809499608,bus_station,Хуучин эцэс,47.9303659,106.7652015
3809499609,bus_station,Хуучин эцэс,47.9280842,106.7651781
3809499610,bus_station,Грааш,47.9240344,106.7653495
3809499611,bus_station,1-р хорооны буудал,47.9200927,106.7661844
3809499614,bus_station,Шөнийн дэлгүүр,47.9195836,106.7868798
3809499615,bus_station,65-р дэлгүүр,47.9200585,106.7938167
3809499616,bus_station,Зам,47.9203628,106.8001902
3809499617,bus_station,Авто-Сургууль,47.9214421,106.814374
3809499619,bus_station,21-р хороололын буудал,47.9204719,106.8168319
3809499620,bus_station,Хуучин давхар,47.9290196,106.8170413
3809499621,bus_station,Өндөр Настан,47.9341984,106.8157994
3809499622,bus_station,Шинэ давхар,47.9371514,106.8149763
3809499623,bus_station,Хилчин Хотхон,47.9424599,106.8161793
3809499624,bus_station,Цэргийн анги,47.9451254,106.8224378
3809499625,bus_station,Цэргийн анги,47.9450634,106.8212007
3809499626,bus_station,Хилчин хотхон,47.942039,106.815551
3809499627,bus_station,7-р хорооны буудал,47.9490271,106.8253747
3809499628,bus_station,7-р хорооны буудал,47.948528,106.8249948
3809499629,bus_station,Баянхошууны хуучин эцэс,47.9530492,106.8261247
3809499630,bus_station,Баруун Салаа 1,47.9593391,106.8218687
3809499631,bus_station,Хуучин эцэс,47.981817,106.8035374
3809499632,bus_station,Баянхошууны баруун салааны шинэ эцэс,47.987865,106.8019481
3809499633,bus_station,Колонкын буудал,47.9838927,106.802923
3809499634,bus_station,Баруун Салаа 1,47.9596367,106.8207693
3809499635,bus_station,Тойрог,47.955935,106.8290119
3809499636,bus_station,Жанцан дэлгүүр,47.9551551,106.8389748
3809499637,bus_station,Хөтөл,47.9506242,106.8598175
3809499638,bus_station,Буурал ээж,47.9471317,106.8665118
3809499639,bus_station,Зурагтын шинэ эцэс,47.9384291,106.8832297
3809508841,bus_station,Зурагтын хуучин эцэс,47.9334495,106.8869593
3809508846,bus_station,1-р буудал,47.9611557,106.8273285
3809508847,bus_station,2-р буудал,47.9641746,106.8286722
3809508848,bus_station,Зүүн салааны хуучин эцэс,47.9713535,106.8290419
3809508849,bus_station,Улаан Худаг,47.9840119,106.8277323
3809508850,bus_station,Зүүн Салаа,47.9879915,106.827617
3809508851,bus_station,Баян-Хангай,47.9961589,106.8259369
3809508852,bus_station,Зүүн салааны эцэс,47.9985837,106.8257664
3809508853,bus_station,Хуучин эцэс,47.9698732,106.8292875
3809508854,bus_station,Зүүн салааны 2-р буудал,47.9605762,106.8269849
3809508855,bus_station,Зүүн салааны 1-р буудал,47.9604013,106.8268813
3809508856,bus_station,Троллейбусны зогсоол,47.9168977,106.8180332
3809509159,bus_station,10-р хороолол,47.9135987,106.8680147
3811381424,bus_station,Мөнгөн завьяа,47.9166417,106.909502
3846184858,bank,Голомт банк,47.9162144,106.9163717
3886060502,bank,Үндэсний хөрөнгө оруулалтын банк,47.9114073,106.907767
3886158463,bank,Голомт Солонго салбар,47.9130899,106.9042179
3886158468,bank,Хас,47.913692,106.9049652
3886158500,bank,Худалдаа Хөгжлийн Банк,47.9143714,106.9086341
3887075594,bank,Хаан Банк,47.9092321,106.9438001
3887090075,bank,Төрийн банк,47.9128038,106.9410145
3887626683,bank,Төрийн Банк,47.9220803,106.8658769
3889174287,atm,Хаан банк,47.9236471,106.9783052
3890003389,fuel,Юни Газ,47.9095187,106.8157559
3890435364,atm,Батлан хамгаалахын их сургуулийн АТМ,47.9212408,106.9863268
3891278904,marketplace,Good food mini market,47.9210428,106.9272947
3891665660,bank,Худалдаа хөгжлийн банк,47.91478,106.9131631
3891809974,fuel,сод монгол штс,47.9077666,107.0358583
3891838594,marketplace,Амгалан зах,47.9068289,107.0160225
3891862602,bank,Хаан банк,47.9068137,107.0160542
3891929435,marketplace,Хүчит шонхор зах,47.9427339,106.90274
3891930311,bank,Хаан банк,47.9424524,106.9015678
3891970380,fuel,МТ штс,47.9214657,106.8096967
3891975169,fuel,,47.9095898,106.8202376
3891982752,bank,Голомт Банк,47.9132896,106.8522221
3891982753,bank,Хаан Банк,47.9129572,106.8494386
3893390518,bank,Төрийн банк,47.9097853,106.8959476
3893430457,bank,Голомт Банк Бизнес Салбар,47.9127698,106.8452585
3893436348,bank,Голомт банк,47.9176638,106.8175545
3893437842,fuel,Сод Монгол ШТС,47.9081384,106.9069284
3893455080,marketplace,"""Энхжин"" хүнсний дэлгүүр",47.8474001,106.7266664
3893459546,bank,Голомт Банк,47.9142798,106.8663478
3893460698,bank,Голомт Гааль тооцооны төв,47.9089983,106.8829368
3893462202,bank,Голомт банк Варьете тооцооны төв,47.9111875,106.8828567
3893464752,bank,Голомт Банк,47.923239,106.8821607
3893467594,bank,Голомт банк Макс Моол тооцооны төв,47.9154243,106.8916616
3893467621,bank,Голомт банк Голомт хотхон салбар,47.9144575,106.8950901
3893467757,bank,Голомт Банк,47.923354,106.8864691
3893471518,fuel,Тэс ШТС,47.8689445,106.825082
3893474254,bank,Голомт банк ээлийн төв Бизнес төв,47.9162114,106.9002547
3893487185,marketplace,Батхүүгийн дэлгүүр,47.8480102,106.7221123
3893487187,marketplace,Хүнсний дэлгүүр,47.8479668,106.7217769
3893539464,marketplace,Хүнсний дэлгүүр,47.8457417,106.7241422
3893539465,marketplace,Хүнсний дэлгүүр,47.845327,106.7249748
3893539466,marketplace,Хүнсний дэлгүүр,47.8507228,106.7225095
3893653590,bank,Хаан банк,47.9223456,106.8737823
3894566063,bus_station,Дүнжингарав зогсоол,47.9050242,106.9464579
3894575988,bank,Голомт банк - Номин юнайтед тооцооны төв,47.9167745,106.9064442
3894581700,bank,Голомт банк,47.9014174,106.930157
3894582072,atm,Голомт АТМ,47.9013514,106.9300622
3894634830,bank,Худалдаа Хөгжлийн Банк,47.8816982,106.9112469
3894645101,atm,Худалдаа хөгжлийн банкны АТМ,47.9142608,106.908134
3894656330,bank,Улаанбаатар хотын банк,47.9143011,106.9097031
3894766432,atm,ХХБ АТМ,47.9174309,106.9071792
3894775817,atm,XXБ АТМ,47.9141918,106.916109
3894776971,bank,Хаан банк,47.9039587,106.910969
3894779353,bank,ХХБ,47.9174763,106.9073971
3894805830,fuel,Жаст Ойл ШТС,47.9282624,106.8909035
3894809452,bank,Tөрийн банк,47.9166953,106.9086997
3894818144,bank,Төрийн Банк,47.9233555,106.8863641
3894825757,bank,Худалдаа Хөгжлийн Банk,47.9124045,106.8422813
3894835119,bank,Капитал Банк,47.9230603,106.877832
3894838405,bank,Төрийн банк,47.9122146,106.8376658
3895025301,atm,Голомт банк ATM,47.9274672,106.9124481
3895039814,bank,Төрийн банк,47.9247349,106.9148019
3895067004,bank,Кидан хадгаламж зээлийн хоршоо,47.9151767,106.9070416
3895132124,atm,ХХБ,47.9217669,106.9225344
3895133936,atm,Хас,47.9218421,106.9225157
3895152267,atm,XXБ АТМ,47.9097609,106.9130611
3895189915,bank,Төрийн Банк,47.9118594,106.8347801
3895192496,bank,Төрийн банк,47.9223582,106.9034629
3895195065,bank,Хаан банк,47.9043169,106.9351427
3895200548,bank,Төрийн банк,47.8953088,106.9081003
3895203191,bank,Хаан банк,47.9095643,106.949835
3895205744,bank,Хаан банк,47.9099891,106.9429598
3895221583,bank,Хаан банк,47.91858,106.9408215
3895225714,bank,Хаан банк,47.9184374,106.9475914
3895237625,bus_station,23-р Байр Автобусны Буудал,47.9167572,106.8385645
3896057849,bank,Хаан банк,47.9222893,106.9168847
3896082124,atm,ATM,47.9132107,106.8531794
3896082125,atm,,47.9132688,106.8537562
3896154149,bank,Хас банк АТМ,47.9276458,106.9272447
3896154480,bank,,47.9273326,106.9257792
3896154735,bank,Голомт банк АТМ,47.9276458,106.9272447
3896154755,bank,Худалдаа хөгжил банк АТМ,47.9276726,106.9273111
3896158875,bank,Arig bank,47.9169787,106.9116374
3896158880,bank,Төрийн Банк,47.9132274,106.9049989
3896233934,bank,Аудитын компани,47.9257859,106.9270393
3896240176,bank,Төрийн банк,47.9262725,106.9269202
3896247922,bank,Хасбанк салбар,47.9260018,106.9269903
3896252127,bank,Голомт банк салбар,47.9295053,106.9249204
3896562535,atm,хаан банк атм,47.9175006,106.9646616
3896562570,atm,капитал банк атм,47.9170075,106.9646152
3896591042,fuel,Сод монгол ШТС,47.9170108,106.9638222
3896672023,bank,Голомт банк,47.9201997,106.943331
